stop_id,stop_name,lat,lon,route
Feeder_Koridor_7_4,20 Sep 2023 08.18.48,-2.97017,104.746,Feeder Koridor 7
Feeder_Koridor_7_5,BS Univ Tridinanti A ada,-2.9711,104.746,Feeder Koridor 7
Feeder_Koridor_7_6,BS simpang soraja A ada,-2.97265,104.744,Feeder Koridor 7
Feeder_Koridor_7_7,BS palembang square ada,-2.97555,104.743,Feeder Koridor 7
Feeder_Koridor_7_8,BS LRT bumi sriwijaya ada,-2.97674,104.745,Feeder Koridor 7
Feeder_Koridor_7_9,BS Dprd sumsel ada,-2.97939,104.744,Feeder Koridor 7
Feeder_Koridor_7_10,BS arya duta ada,-2.97785,104.741,Feeder Koridor 7
Feeder_Koridor_7_11,BS puncak sikuning A ada,-2.97772,104.737,Feeder Koridor 7
Feeder_Koridor_7_12,BS Family A ada,-2.97911,104.737,Feeder Koridor 7
Feeder_Koridor_7_13,BS sdn 22 ada,-2.98355,104.738,Feeder Koridor 7
Feeder_Koridor_7_14,BS sman 2 ada,-2.98532,104.738,Feeder Koridor 7
Feeder_Koridor_7_15,BS riau A ada,-2.98677,104.738,Feeder Koridor 7
Feeder_Koridor_7_16,BS emporium ada,-2.98848,104.738,Feeder Koridor 7
Feeder_Koridor_7_17,BS kemang manis A ada,-2.98955,104.738,Feeder Koridor 7
Feeder_Koridor_7_18,BS simpang polsek ada,-2.98979,104.735,Feeder Koridor 7
Feeder_Koridor_7_19,BS k.camat ilir barat 1 ada,-2.99032,104.734,Feeder Koridor 7
Feeder_Koridor_7_20,BS simpang univ plg ada,-2.99134,104.732,Feeder Koridor 7
Feeder_Koridor_7_21,BS smpn 17 ada,-2.99029,104.73,Feeder Koridor 7
Feeder_Koridor_7_22,Bs pasca sarjana A ada,-2.99023,104.729,Feeder Koridor 7
Feeder_Koridor_7_23,Bs srijaya negara A ada,-2.99176,104.727,Feeder Koridor 7
Feeder_Koridor_7_24,Bs ada,-2.99287,104.727,Feeder Koridor 7
Feeder_Koridor_7_25,Bs ada,-2.99447,104.726,Feeder Koridor 7
Feeder_Koridor_8_1,Stasiun LRT Asrama Haji A,-2.91935038924161,104.711404331302,Feeder Koridor 8
Feeder_Koridor_8_2,Asrama Haji B,-2.91651417880875,104.712020112636,Feeder Koridor 8
Feeder_Koridor_8_3,Kerajinan Karet B,-2.91075817833598,104.714536793033,Feeder Koridor 8
Feeder_Koridor_8_4,PDK,-2.90727174615211,104.725187690695,Feeder Koridor 8
Feeder_Koridor_8_5,Simpang Bandara A,-2.90295760181717,104.727297415991,Feeder Koridor 8
Feeder_Koridor_8_6,Simpang Talang Jambe,-2.89565880265001,104.726002273989,Feeder Koridor 8
Feeder_Koridor_8_7,YAPIS Hikmatul Furqon A,-2.89601508476471,104.722742598362,Feeder Koridor 8
Feeder_Koridor_8_8,Perum Graha Utama Bandara,-2.89573909935291,104.719088671088,Feeder Koridor 8
Feeder_Koridor_8_9,Simpang Karantina A,-2.89623394890395,104.716342841057,Feeder Koridor 8
