stop_id,name,longitude,latitude,route_type,route_name,sequence
AF_Koridor 2 - Asrama Haji - Sematang Borang__63,Stop 63,104.80073927,-2.94553623,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,63
AF_Koridor 2 - Asrama Haji - Sematang Borang__64,Stop 64,104.80130688,-2.94314597,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,64
AF_Koridor 2 - Asrama Haji - Sematang Borang__65,Stop 65,104.80220579,-2.93983044,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,65
AF_Koridor 2 - Asrama Haji - Sematang Borang__66,Stop 66,104.79852789,-2.93931313,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,66
AF_Koridor 2 - Asrama Haji - Sematang Borang__67,Stop 67,104.79474869,-2.93750616,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,67
AF_Koridor 2 - Asrama Haji - Sematang Borang__68,Stop 68,104.79150791,-2.93320456,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,68
AF_Koridor 2 - Asrama Haji - Sematang Borang__69,Stop 69,104.79008312,-2.93088625,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,69
AF_Koridor 2 - Asrama Haji - Sematang Borang__70,Stop 70,104.74891709,-2.9167583,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,70
AF_Koridor 2 - Asrama Haji - Sematang Borang__71,Stop 71,104.749229214,-2.91658736401,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,71
AF_Koridor 3 - Asrama Haji - Talang Betutu_1,Start (Asrama Haji),104.680344,-2.893893,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,1
AF_Koridor 3 - Asrama Haji - Talang Betutu_2,Stop 2,104.688298,-2.895906,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,2
AF_Koridor 3 - Asrama Haji - Talang Betutu_3,Stop 3,104.694356,-2.898227,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,3
AF_Koridor 3 - Asrama Haji - Talang Betutu_4,Stop 4,104.699228,-2.903703,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,4
AF_Koridor 3 - Asrama Haji - Talang Betutu_5,Stop 5,104.704615,-2.916197,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,5
AF_Koridor 3 - Asrama Haji - Talang Betutu_6,Stop 6,104.710044,-2.922329,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,6
AF_Koridor 3 - Asrama Haji - Talang Betutu_7,Stop 7,104.711819,-2.919994,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,7
AF_Koridor 3 - Asrama Haji - Talang Betutu_8,Stop 8,104.712113,-2.916219,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,8
AF_Koridor 3 - Asrama Haji - Talang Betutu_9,Stop 9,104.711711,-2.919492,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,9
AF_Koridor 3 - Asrama Haji - Talang Betutu_10,Stop 10,104.705813,-2.918147,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,10
AF_Koridor 3 - Asrama Haji - Talang Betutu_11,Stop 11,104.698754,-2.901022,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,11
AF_Koridor 3 - Asrama Haji - Talang Betutu_12,Stop 12,104.688895,-2.895949,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,12
AF_Koridor 3 - Asrama Haji - Talang Betutu_13,stop 13,104.680344,-2.893893,angkot_feeder,Koridor 3 - Asrama Haji - Talang Betutu,13
AF_Koridor 4 - Polresta - Perum OPI_1,Start (Sta Polresta),104.772646,-3.005205,angkot_feeder,Koridor 4 - Polresta - Perum OPI,1
AF_Koridor 4 - Polresta - Perum OPI_2,LRT ,104.774609,-3.0129,angkot_feeder,Koridor 4 - Polresta - Perum OPI,2
AF_Koridor 4 - Polresta - Perum OPI_3,Stop 3,104.77495,-3.026408,angkot_feeder,Koridor 4 - Polresta - Perum OPI,3
AF_Koridor 4 - Polresta - Perum OPI_4,Stop 4,104.779937,-3.036145,angkot_feeder,Koridor 4 - Polresta - Perum OPI,4
AF_Koridor 4 - Polresta - Perum OPI_5,Stop 5,104.784603,-3.044529,angkot_feeder,Koridor 4 - Polresta - Perum OPI,5
AF_Koridor 4 - Polresta - Perum OPI_6,Stop 6,104.782203,-3.041752,angkot_feeder,Koridor 4 - Polresta - Perum OPI,6
AF_Koridor 4 - Polresta - Perum OPI_7,Stop 7,104.779183,-3.033971,angkot_feeder,Koridor 4 - Polresta - Perum OPI,7
AF_Koridor 4 - Polresta - Perum OPI_8,Stop 8,104.77503,-3.022531,angkot_feeder,Koridor 4 - Polresta - Perum OPI,8
AF_Koridor 4 - Polresta - Perum OPI_9,End (Perum OPI),104.772652,-3.005228,angkot_feeder,Koridor 4 - Polresta - Perum OPI,9
AF_Koridor 5 - DJKA - Terminal Plaju__1,BS lingga motor ada,104.816,-2.99941,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,1
AF_Koridor 5 - DJKA - Terminal Plaju__2,BS lorong setia ada,104.817,-3.0026,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,2
AF_Koridor 5 - DJKA - Terminal Plaju__3,BS lorong aman B ada,104.818,-3.00434,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,3
AF_Koridor 5 - DJKA - Terminal Plaju__4,BS SPBU 24 ada,104.818,-3.00558,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,4
