route_name,route_type,stop_id,stop_name,sequence,longitude,latitude
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_1,Start (Asrama Haji),1,104.680344,-2.893893
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_2,Stop 2,2,104.688298,-2.895906
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_3,Stop 3,3,104.694356,-2.898227
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_4,Stop 4,4,104.699228,-2.903703
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_5,Stop 5,5,104.704615,-2.916197
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_6,Stop 6,6,104.710044,-2.922329
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_7,Stop 7,7,104.711819,-2.919994
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_8,Stop 8,8,104.712113,-2.916219
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_9,Stop 9,9,104.711711,-2.919492
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_10,Stop 10,10,104.705813,-2.918147
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_11,Stop 11,11,104.698754,-2.901022
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_12,Stop 12,12,104.688895,-2.895949
Koridor 3 - Asrama Haji - Talang Betutu,angkot_feeder,AF_Koridor 3 - Asrama Haji - Talang Betutu_13,stop 13,13,104.680344,-2.893893
Koridor 4 - Polresta - Perum OPI,angkot_feeder,AF_Koridor 4 - Polresta - Perum OPI_1,Start (Sta Polresta),1,104.772646,-3.005205
Koridor 4 - Polresta - Perum OPI,angkot_feeder,AF_Koridor 4 - Polresta - Perum OPI_2,LRT ,2,104.774609,-3.0129
Koridor 4 - Polresta - Perum OPI,angkot_feeder,AF_Koridor 4 - Polresta - Perum OPI_3,Stop 3,3,104.77495,-3.026408
Koridor 4 - Polresta - Perum OPI,angkot_feeder,AF_Koridor 4 - Polresta - Perum OPI_4,Stop 4,4,104.779937,-3.036145
Koridor 4 - Polresta - Perum OPI,angkot_feeder,AF_Koridor 4 - Polresta - Perum OPI_5,Stop 5,5,104.784603,-3.044529
Koridor 4 - Polresta - Perum OPI,angkot_feeder,AF_Koridor 4 - Polresta - Perum OPI_6,Stop 6,6,104.782203,-3.041752
Koridor 4 - Polresta - Perum OPI,angkot_feeder,AF_Koridor 4 - Polresta - Perum OPI_7,Stop 7,7,104.779183,-3.033971
Koridor 4 - Polresta - Perum OPI,angkot_feeder,AF_Koridor 4 - Polresta - Perum OPI_8,Stop 8,8,104.77503,-3.022531
Koridor 4 - Polresta - Perum OPI,angkot_feeder,AF_Koridor 4 - Polresta - Perum OPI_9,End (Perum OPI),9,104.772652,-3.005228
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__1,BS lingga motor ada,1,104.816,-2.99941
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__2,BS lorong setia ada,2,104.817,-3.0026
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__3,BS lorong aman B ada,3,104.818,-3.00434
